# rtl_cycle_trace time_ps	tag	message
234000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
234000	S3_WTB_WR	addr=11 d0=-75 d1=-75
234000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
238000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
238000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
238000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
238000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
242000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
242000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
242000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
242000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
246000	S6_FSM	st=0->1 mode=0 kpass=0 seq_done=0 ppu_done_l=0
246000	S6_SHDW	mode=0 cin=1 cout=4 hin=3 win=20 hout=3 wout=20 kh=3 kw=3
246000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
246000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
246000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
246000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
246000	S7_CFG	mode=0 ci=0 co=0 kh=0 kw=0 hi=0 wi=0 ho=0 wo=0
250000	S6_FSM	st=1->2 mode=0 kpass=0 seq_done=0 ppu_done_l=0
250000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
250000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
250000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
250000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
254000	S6_FSM	st=2->3 mode=0 kpass=0 seq_done=0 ppu_done_l=0
254000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
254000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
254000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
254000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
258000	S6_FSM	st=3->4 mode=0 kpass=0 seq_done=0 ppu_done_l=0
258000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
258000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
